index,x,y,progress
0,4.572360e+02,7.373880e+02,5.903498e-02
1,4.582260e+02,7.373880e+02,5.962614e-02
2,4.730760e+02,7.373880e+02,1.334240e-01
3,4.740660e+02,7.373880e+02,1.339872e-01
4,4.750560e+02,7.373880e+02,1.343331e-01
5,4.760460e+02,7.373880e+02,1.346525e-01
6,4.770360e+02,7.373880e+02,1.350926e-01
7,4.928760e+02,7.373880e+02,2.131425e-01
8,5.077260e+02,7.373880e+02,2.764189e-01
9,5.097060e+02,7.373880e+02,2.781855e-01
10,5.106960e+02,7.373880e+02,2.788565e-01
11,5.116860e+02,7.373880e+02,2.794498e-01
12,5.126760e+02,7.373880e+02,2.799820e-01
13,5.136660e+02,7.373880e+02,2.804618e-01
14,5.146560e+02,7.373880e+02,2.809068e-01
15,5.156460e+02,7.373880e+02,2.813142e-01
16,5.166360e+02,7.373880e+02,2.816898e-01
17,5.176260e+02,7.373880e+02,2.820619e-01
18,5.186160e+02,7.373880e+02,2.824883e-01
19,5.196060e+02,7.373880e+02,2.830688e-01
20,5.235660e+02,7.373880e+02,2.910599e-01
21,5.245560e+02,7.373880e+02,2.939869e-01
22,5.255460e+02,7.373880e+02,2.962877e-01
23,5.265360e+02,7.373880e+02,2.980939e-01
24,5.275260e+02,7.373880e+02,2.996815e-01
25,5.285160e+02,7.373880e+02,3.010112e-01
26,5.295060e+02,7.373880e+02,3.020738e-01
27,5.304960e+02,7.373880e+02,3.030774e-01
28,5.314860e+02,7.373880e+02,3.042955e-01
29,5.324760e+02,7.373880e+02,3.060743e-01
30,5.384160e+02,7.373880e+02,3.272931e-01
31,5.394060e+02,7.373880e+02,3.304765e-01
32,5.403960e+02,7.373880e+02,3.338157e-01
33,5.413860e+02,7.373880e+02,3.372356e-01
34,5.423760e+02,7.373880e+02,3.405662e-01
35,5.433660e+02,7.373880e+02,3.436927e-01
36,5.443560e+02,7.373880e+02,3.466598e-01
37,5.453460e+02,7.373880e+02,3.493995e-01
38,5.463360e+02,7.373880e+02,3.518331e-01
39,5.473260e+02,7.373880e+02,3.541490e-01
40,5.483160e+02,7.373880e+02,3.565858e-01
41,5.493060e+02,7.373880e+02,3.593800e-01
42,5.502960e+02,7.373880e+02,3.628139e-01
43,5.562360e+02,7.373880e+02,3.789184e-01
44,4.542660e+02,7.363980e+02,5.497090e-02
45,4.552560e+02,7.363980e+02,5.667432e-02
46,4.562460e+02,7.363980e+02,5.793631e-02
47,4.572360e+02,7.363980e+02,5.883833e-02
48,4.592160e+02,7.363980e+02,5.997057e-02
49,4.730760e+02,7.363980e+02,1.335104e-01
50,4.740660e+02,7.363980e+02,1.340705e-01
51,4.750560e+02,7.363980e+02,1.344348e-01
52,4.760460e+02,7.363980e+02,1.348152e-01
53,4.899060e+02,7.363980e+02,2.029626e-01
54,4.908960e+02,7.363980e+02,2.058596e-01
55,4.918860e+02,7.363980e+02,2.094031e-01
56,4.928760e+02,7.363980e+02,2.132007e-01
57,4.948560e+02,7.363980e+02,2.201418e-01
58,4.958460e+02,7.363980e+02,2.240003e-01
59,4.988160e+02,7.363980e+02,2.424497e-01
60,4.998060e+02,7.363980e+02,2.481507e-01
61,5.067360e+02,7.363980e+02,2.750655e-01
62,5.077260e+02,7.363980e+02,2.760774e-01
63,5.106960e+02,7.363980e+02,2.786093e-01
64,5.116860e+02,7.363980e+02,2.792385e-01
65,5.126760e+02,7.363980e+02,2.798295e-01
66,5.136660e+02,7.363980e+02,2.803628e-01
67,5.146560e+02,7.363980e+02,2.808444e-01
68,5.156460e+02,7.363980e+02,2.812764e-01
69,5.166360e+02,7.363980e+02,2.816669e-01
70,5.176260e+02,7.363980e+02,2.820432e-01
71,5.186160e+02,7.363980e+02,2.824600e-01
72,5.196060e+02,7.363980e+02,2.830095e-01
73,5.245560e+02,7.363980e+02,2.933971e-01
74,5.255460e+02,7.363980e+02,2.959569e-01
75,5.265360e+02,7.363980e+02,2.979871e-01
76,5.275260e+02,7.363980e+02,2.997301e-01
77,5.285160e+02,7.363980e+02,3.011776e-01
78,5.295060e+02,7.363980e+02,3.023329e-01
79,5.304960e+02,7.363980e+02,3.034108e-01
80,5.314860e+02,7.363980e+02,3.047009e-01
81,5.324760e+02,7.363980e+02,3.066042e-01
82,5.364360e+02,7.363980e+02,3.214722e-01
83,5.374260e+02,7.363980e+02,3.245603e-01
84,5.453460e+02,7.363980e+02,3.484532e-01
85,5.463360e+02,7.363980e+02,3.511994e-01
86,5.473260e+02,7.363980e+02,3.538809e-01
87,5.483160e+02,7.363980e+02,3.567429e-01
88,5.493060e+02,7.363980e+02,3.600497e-01
89,5.512860e+02,7.363980e+02,3.678334e-01
90,5.522760e+02,7.363980e+02,3.708938e-01
91,5.532660e+02,7.363980e+02,3.732737e-01
92,5.542560e+02,7.363980e+02,3.755604e-01
93,5.552460e+02,7.363980e+02,3.779957e-01
94,5.562360e+02,7.363980e+02,3.803897e-01
95,4.522860e+02,7.354080e+02,4.899261e-02
96,4.532760e+02,7.354080e+02,5.164369e-02
97,4.552560e+02,7.354080e+02,5.612247e-02
98,4.592160e+02,7.354080e+02,5.980441e-02
99,4.602060e+02,7.354080e+02,6.026480e-02
100,4.611960e+02,7.354080e+02,6.082202e-02
101,4.730760e+02,7.354080e+02,1.336011e-01
102,4.740660e+02,7.354080e+02,1.341890e-01
103,4.750560e+02,7.354080e+02,1.346196e-01
104,4.760460e+02,7.354080e+02,1.351393e-01
105,4.770360e+02,7.354080e+02,1.359666e-01
106,4.889160e+02,7.354080e+02,1.996944e-01
107,4.899060e+02,7.354080e+02,2.024700e-01
108,4.948560e+02,7.354080e+02,2.198112e-01
109,4.958460e+02,7.354080e+02,2.235045e-01
110,4.988160e+02,7.354080e+02,2.418431e-01
111,4.998060e+02,7.354080e+02,2.477964e-01
112,5.047560e+02,7.354080e+02,2.722983e-01
113,5.057460e+02,7.354080e+02,2.736419e-01
114,5.067360e+02,7.354080e+02,2.746968e-01
115,5.097060e+02,7.354080e+02,2.775397e-01
116,5.106960e+02,7.354080e+02,2.782888e-01
117,5.116860e+02,7.354080e+02,2.789697e-01
118,5.126760e+02,7.354080e+02,2.796195e-01
119,5.136660e+02,7.354080e+02,2.802165e-01
120,5.146560e+02,7.354080e+02,2.807510e-01
121,5.156460e+02,7.354080e+02,2.812256e-01
122,5.166360e+02,7.354080e+02,2.816497e-01
123,5.176260e+02,7.354080e+02,2.820491e-01
124,5.186160e+02,7.354080e+02,2.824738e-01
125,5.196060e+02,7.354080e+02,2.830000e-01
126,5.255460e+02,7.354080e+02,2.953322e-01
127,5.265360e+02,7.354080e+02,2.977105e-01
128,5.275260e+02,7.354080e+02,2.997033e-01
129,5.285160e+02,7.354080e+02,3.013240e-01
130,5.295060e+02,7.354080e+02,3.026358e-01
131,5.304960e+02,7.354080e+02,3.038465e-01
132,5.314860e+02,7.354080e+02,3.052675e-01
133,5.364360e+02,7.354080e+02,3.221921e-01
134,5.374260e+02,7.354080e+02,3.250160e-01
135,5.384160e+02,7.354080e+02,3.274288e-01
136,5.512860e+02,7.354080e+02,3.689246e-01
137,5.522760e+02,7.354080e+02,3.719138e-01
138,5.532660e+02,7.354080e+02,3.743530e-01
139,5.542560e+02,7.354080e+02,3.768789e-01
140,5.552460e+02,7.354080e+02,3.796973e-01
141,4.522860e+02,7.344180e+02,4.691675e-02
142,4.532760e+02,7.344180e+02,5.007374e-02
143,4.552560e+02,7.344180e+02,5.542271e-02
144,4.562460e+02,7.344180e+02,5.708851e-02
145,4.592160e+02,7.344180e+02,5.957060e-02
146,4.602060e+02,7.344180e+02,6.006424e-02
147,4.611960e+02,7.344180e+02,6.063237e-02
148,4.621860e+02,7.344180e+02,6.145385e-02
149,4.631760e+02,7.344180e+02,6.278410e-02
150,4.641660e+02,7.344180e+02,6.508249e-02
151,4.730760e+02,7.344180e+02,1.337528e-01
152,4.740660e+02,7.344180e+02,1.344024e-01
153,4.750560e+02,7.344180e+02,1.349752e-01
154,4.879260e+02,7.344180e+02,1.959339e-01
155,4.889160e+02,7.344180e+02,1.990266e-01
156,4.899060e+02,7.344180e+02,2.020626e-01
157,4.928760e+02,7.344180e+02,2.133798e-01
158,4.938660e+02,7.344180e+02,2.165340e-01
159,4.948560e+02,7.344180e+02,2.195684e-01
160,4.998060e+02,7.344180e+02,2.472526e-01
161,5.007960e+02,7.344180e+02,2.538637e-01
162,5.047560e+02,7.344180e+02,2.718965e-01
163,5.057460e+02,7.344180e+02,2.732452e-01
164,5.097060e+02,7.344180e+02,2.770698e-01
165,5.106960e+02,7.344180e+02,2.778709e-01
166,5.116860e+02,7.344180e+02,2.786280e-01
167,5.126760e+02,7.344180e+02,2.793500e-01
168,5.136660e+02,7.344180e+02,2.800105e-01
169,5.146560e+02,7.344180e+02,2.806063e-01
170,5.156460e+02,7.344180e+02,2.811446e-01
171,5.166360e+02,7.344180e+02,2.816260e-01
172,5.176260e+02,7.344180e+02,2.820699e-01
173,5.186160e+02,7.344180e+02,2.825195e-01
