index,x,y,progress
0,3.955000e+02,6.405000e+02,3.252868e-08
1,3.955000e+02,6.395000e+02,3.762634e-08
2,3.965000e+02,6.375000e+02,5.197429e-08
3,3.975000e+02,6.375000e+02,5.619077e-08
4,3.985000e+02,6.375000e+02,6.037140e-08
5,3.995000e+02,6.375000e+02,6.451323e-08
6,3.965000e+02,6.365000e+02,5.663530e-08
7,3.975000e+02,6.365000e+02,6.069885e-08
8,3.985000e+02,6.365000e+02,6.472134e-08
9,3.995000e+02,6.365000e+02,6.874319e-08
10,4.005000e+02,6.365000e+02,7.295570e-08
11,4.045000e+02,6.365000e+02,9.259031e-08
12,4.055000e+02,6.365000e+02,9.750797e-08
13,4.065000e+02,6.365000e+02,1.021888e-07
14,3.985000e+02,6.355000e+02,6.874997e-08
15,3.995000e+02,6.355000e+02,7.270494e-08
16,4.045000e+02,6.355000e+02,9.661742e-08
17,4.055000e+02,6.355000e+02,1.015717e-07
18,4.065000e+02,6.355000e+02,1.063029e-07
19,4.065000e+02,6.335000e+02,1.142854e-07
20,4.075000e+02,6.335000e+02,1.190239e-07
21,4.005000e+02,6.325000e+02,8.727995e-08
22,4.015000e+02,6.325000e+02,9.184281e-08
23,4.065000e+02,6.325000e+02,1.181186e-07
24,4.075000e+02,6.325000e+02,1.229820e-07
25,4.085000e+02,6.325000e+02,1.275138e-07
26,3.995000e+02,6.315000e+02,8.582493e-08
27,4.005000e+02,6.315000e+02,9.007775e-08
28,4.015000e+02,6.315000e+02,9.471867e-08
29,4.075000e+02,6.315000e+02,1.269021e-07
30,4.085000e+02,6.315000e+02,1.314800e-07
31,3.875000e+02,6.295000e+02,4.243924e-08
32,3.885000e+02,6.295000e+02,4.844883e-08
33,3.925000e+02,6.295000e+02,6.731655e-08
34,3.935000e+02,6.295000e+02,7.071348e-08
35,4.095000e+02,6.295000e+02,1.429217e-07
36,4.105000e+02,6.295000e+02,1.460643e-07
37,4.115000e+02,6.295000e+02,1.486963e-07
38,3.905000e+02,6.285000e+02,6.203091e-08
39,3.915000e+02,6.285000e+02,6.626130e-08
40,3.925000e+02,6.285000e+02,6.990510e-08
41,3.935000e+02,6.285000e+02,7.313188e-08
42,3.945000e+02,6.285000e+02,7.608184e-08
43,3.955000e+02,6.285000e+02,7.891596e-08
44,3.965000e+02,6.285000e+02,8.183607e-08
45,4.005000e+02,6.285000e+02,9.734196e-08
46,4.015000e+02,6.285000e+02,1.024559e-07
47,4.025000e+02,6.285000e+02,1.080836e-07
48,4.085000e+02,6.285000e+02,1.425397e-07
49,4.095000e+02,6.285000e+02,1.462187e-07
50,4.105000e+02,6.285000e+02,1.491799e-07
51,4.115000e+02,6.285000e+02,1.516657e-07
52,3.895000e+02,6.275000e+02,5.985255e-08
53,3.905000e+02,6.275000e+02,6.469523e-08
54,3.915000e+02,6.275000e+02,6.876784e-08
55,3.925000e+02,6.275000e+02,7.225597e-08
56,3.935000e+02,6.275000e+02,7.534227e-08
57,3.945000e+02,6.275000e+02,7.817928e-08
58,3.955000e+02,6.275000e+02,8.094461e-08
59,3.965000e+02,6.275000e+02,8.384160e-08
60,4.005000e+02,6.275000e+02,9.966800e-08
61,4.015000e+02,6.275000e+02,1.049752e-07
62,4.025000e+02,6.275000e+02,1.108238e-07
63,4.035000e+02,6.275000e+02,1.171163e-07
64,4.085000e+02,6.275000e+02,1.457755e-07
65,4.095000e+02,6.275000e+02,1.493106e-07
66,4.105000e+02,6.275000e+02,1.521481e-07
67,4.115000e+02,6.275000e+02,1.545489e-07
68,4.125000e+02,6.275000e+02,1.566795e-07
69,3.855000e+02,6.265000e+02,3.696356e-08
70,3.865000e+02,6.265000e+02,4.381416e-08
71,3.905000e+02,6.265000e+02,6.719196e-08
72,3.915000e+02,6.265000e+02,7.113594e-08
73,3.925000e+02,6.265000e+02,7.450701e-08
74,3.935000e+02,6.265000e+02,7.749628e-08
75,3.945000e+02,6.265000e+02,8.026745e-08
76,3.955000e+02,6.265000e+02,8.300908e-08
77,3.965000e+02,6.265000e+02,8.591687e-08
78,4.085000e+02,6.265000e+02,1.489554e-07
79,4.095000e+02,6.265000e+02,1.523894e-07
80,4.105000e+02,6.265000e+02,1.551544e-07
81,4.115000e+02,6.265000e+02,1.575043e-07
82,4.125000e+02,6.265000e+02,1.596007e-07
83,4.135000e+02,6.265000e+02,1.615147e-07
84,3.895000e+02,6.255000e+02,6.501848e-08
85,3.905000e+02,6.255000e+02,6.963484e-08
86,3.915000e+02,6.255000e+02,7.348229e-08
87,3.925000e+02,6.255000e+02,7.677478e-08
88,3.935000e+02,6.255000e+02,7.970844e-08
89,3.945000e+02,6.255000e+02,8.245387e-08
90,3.955000e+02,6.255000e+02,8.520218e-08
91,3.965000e+02,6.255000e+02,8.815143e-08
92,3.975000e+02,6.255000e+02,9.148526e-08
93,4.075000e+02,6.255000e+02,1.480088e-07
94,4.085000e+02,6.255000e+02,1.522552e-07
95,4.095000e+02,6.255000e+02,1.556373e-07
96,4.105000e+02,6.255000e+02,1.583704e-07
97,4.115000e+02,6.255000e+02,1.606872e-07
98,4.125000e+02,6.255000e+02,1.627393e-07
99,4.135000e+02,6.255000e+02,1.646165e-07
100,3.895000e+02,6.245000e+02,6.760097e-08
101,3.905000e+02,6.245000e+02,7.211663e-08
102,3.915000e+02,6.245000e+02,7.589088e-08
103,3.925000e+02,6.245000e+02,7.913775e-08
104,3.935000e+02,6.245000e+02,8.205160e-08
105,3.945000e+02,6.245000e+02,8.480656e-08
106,3.955000e+02,6.245000e+02,8.759680e-08
107,4.075000e+02,6.245000e+02,1.516215e-07
108,4.085000e+02,6.245000e+02,1.558380e-07
