index,x,y,flow
0,3.955000e+02,6.405000e+02,2.418977e-09
1,3.955000e+02,6.395000e+02,5.050211e-09
2,3.965000e+02,6.375000e+02,1.698927e-09
3,3.975000e+02,6.375000e+02,2.476584e-09
4,3.985000e+02,6.375000e+02,1.368952e-09
5,3.995000e+02,6.375000e+02,3.566188e-09
6,3.965000e+02,6.365000e+02,1.036856e-10
7,3.975000e+02,6.365000e+02,3.647926e-10
8,3.985000e+02,6.365000e+02,5.201315e-09
9,3.995000e+02,6.365000e+02,8.891799e-09
10,4.005000e+02,6.365000e+02,1.935476e-09
11,4.045000e+02,6.365000e+02,1.710159e-09
12,4.055000e+02,6.365000e+02,3.075215e-09
13,4.065000e+02,6.365000e+02,6.014135e-10
14,3.985000e+02,6.355000e+02,2.941078e-10
15,3.995000e+02,6.355000e+02,2.801815e-09
16,4.045000e+02,6.355000e+02,1.978158e-10
17,4.055000e+02,6.355000e+02,7.607425e-09
18,4.065000e+02,6.355000e+02,4.834527e-09
19,4.065000e+02,6.335000e+02,7.804651e-09
20,4.075000e+02,6.335000e+02,2.597134e-10
21,4.005000e+02,6.325000e+02,2.594528e-09
22,4.015000e+02,6.325000e+02,8.000454e-10
23,4.065000e+02,6.325000e+02,8.814113e-09
24,4.075000e+02,6.325000e+02,4.583541e-09
25,4.085000e+02,6.325000e+02,4.651648e-09
26,3.995000e+02,6.315000e+02,5.610075e-11
27,4.005000e+02,6.315000e+02,9.444227e-09
28,4.015000e+02,6.315000e+02,5.629807e-09
29,4.075000e+02,6.315000e+02,6.112426e-10
30,4.085000e+02,6.315000e+02,1.095351e-09
31,3.875000e+02,6.295000e+02,9.688185e-09
32,3.885000e+02,6.295000e+02,1.808066e-10
33,3.925000e+02,6.295000e+02,5.525712e-11
34,3.935000e+02,6.295000e+02,4.463748e-11
35,4.095000e+02,6.295000e+02,4.474075e-10
36,4.105000e+02,6.295000e+02,3.024973e-10
37,4.115000e+02,6.295000e+02,4.053884e-10
38,3.905000e+02,6.285000e+02,8.614423e-09
39,3.915000e+02,6.285000e+02,1.931659e-08
40,3.925000e+02,6.285000e+02,6.814048e-09
41,3.935000e+02,6.285000e+02,3.519209e-09
42,3.945000e+02,6.285000e+02,1.202525e-08
43,3.955000e+02,6.285000e+02,1.270090e-08
44,3.965000e+02,6.285000e+02,2.971846e-09
45,4.005000e+02,6.285000e+02,4.284598e-09
46,4.015000e+02,6.285000e+02,1.567900e-08
47,4.025000e+02,6.285000e+02,4.255684e-10
48,4.085000e+02,6.285000e+02,9.743521e-10
49,4.095000e+02,6.285000e+02,1.589862e-08
50,4.105000e+02,6.285000e+02,6.909536e-09
51,4.115000e+02,6.285000e+02,1.587552e-09
52,3.895000e+02,6.275000e+02,2.035933e-09
53,3.905000e+02,6.275000e+02,3.507122e-08
54,3.915000e+02,6.275000e+02,3.362446e-08
55,3.925000e+02,6.275000e+02,2.232212e-08
56,3.935000e+02,6.275000e+02,1.916396e-08
57,3.945000e+02,6.275000e+02,1.471019e-08
58,3.955000e+02,6.275000e+02,1.551914e-08
59,3.965000e+02,6.275000e+02,3.743235e-09
60,4.005000e+02,6.275000e+02,1.317968e-09
61,4.015000e+02,6.275000e+02,2.755651e-09
62,4.025000e+02,6.275000e+02,2.644119e-09
63,4.035000e+02,6.275000e+02,3.241198e-09
64,4.085000e+02,6.275000e+02,3.523806e-09
65,4.095000e+02,6.275000e+02,1.555536e-08
66,4.105000e+02,6.275000e+02,1.521667e-08
67,4.115000e+02,6.275000e+02,4.931742e-09
68,4.125000e+02,6.275000e+02,3.988036e-10
69,3.855000e+02,6.265000e+02,2.582088e-08
70,3.865000e+02,6.265000e+02,1.433662e-09
71,3.905000e+02,6.265000e+02,2.620716e-08
72,3.915000e+02,6.265000e+02,3.561615e-08
73,3.925000e+02,6.265000e+02,1.571986e-08
74,3.935000e+02,6.265000e+02,1.763638e-08
75,3.945000e+02,6.265000e+02,1.062213e-08
76,3.955000e+02,6.265000e+02,6.065483e-10
77,3.965000e+02,6.265000e+02,8.963548e-09
78,4.085000e+02,6.265000e+02,1.741371e-10
79,4.095000e+02,6.265000e+02,1.072983e-08
80,4.105000e+02,6.265000e+02,1.319269e-08
81,4.115000e+02,6.265000e+02,9.133321e-09
82,4.125000e+02,6.265000e+02,3.536865e-09
83,4.135000e+02,6.265000e+02,4.642620e-10
84,3.895000e+02,6.255000e+02,1.665692e-10
85,3.905000e+02,6.255000e+02,2.508353e-08
86,3.915000e+02,6.255000e+02,3.327782e-08
87,3.925000e+02,6.255000e+02,2.666154e-08
88,3.935000e+02,6.255000e+02,2.475224e-08
89,3.945000e+02,6.255000e+02,2.068429e-08
90,3.955000e+02,6.255000e+02,8.786151e-09
91,3.965000e+02,6.255000e+02,3.541858e-09
92,3.975000e+02,6.255000e+02,4.627805e-10
93,4.075000e+02,6.255000e+02,2.965764e-10
94,4.085000e+02,6.255000e+02,9.430923e-09
95,4.095000e+02,6.255000e+02,5.476061e-09
96,4.105000e+02,6.255000e+02,1.760355e-08
97,4.115000e+02,6.255000e+02,4.159687e-09
98,4.125000e+02,6.255000e+02,1.127212e-08
99,4.135000e+02,6.255000e+02,1.292061e-09
100,3.895000e+02,6.245000e+02,4.518730e-09
101,3.905000e+02,6.245000e+02,2.224316e-09
102,3.915000e+02,6.245000e+02,2.530937e-08
103,3.925000e+02,6.245000e+02,1.528687e-08
104,3.935000e+02,6.245000e+02,2.568074e-08
105,3.945000e+02,6.245000e+02,2.291436e-08
106,3.955000e+02,6.245000e+02,1.675327e-08
107,4.075000e+02,6.245000e+02,1.999423e-09
108,4.085000e+02,6.245000e+02,4.330408e-09
109,4.095000e+02,6.245000e+02,1.987205e-09
110,4.125000e+02,6.245000e+02,7.169719e-10
111,4.135000e+02,6.245000e+02,4.533815e-09
112,3.885000e+02,6.235000e+02,2.271959e-10
113,3.895000e+02,6.235000e+02,2.489980e-09
114,3.905000e+02,6.235000e+02,2.807680e-08
115,3.915000e+02,6.235000e+02,1.976290e-08
116,3.925000e+02,6.235000e+02,2.168579e-08
117,3.935000e+02,6.235000e+02,2.865198e-08
118,3.945000e+02,6.235000e+02,2.493243e-08
119,3.955000e+02,6.235000e+02,2.079985e-08
120,3.965000e+02,6.235000e+02,2.769935e-09
121,3.975000e+02,6.235000e+02,2.105130e-09
122,4.105000e+02,6.235000e+02,2.123784e-09
123,4.115000e+02,6.235000e+02,9.175321e-09
124,4.125000e+02,6.235000e+02,1.192405e-08
125,3.885000e+02,6.225000e+02,4.499089e-08
126,3.895000e+02,6.225000e+02,4.231577e-08
127,3.905000e+02,6.225000e+02,4.716128e-08
128,3.915000e+02,6.225000e+02,2.819476e-08
129,3.925000e+02,6.225000e+02,2.377369e-08
130,3.935000e+02,6.225000e+02,1.075798e-08
131,3.945000e+02,6.225000e+02,2.433987e-08
132,3.955000e+02,6.225000e+02,7.373560e-09
133,4.105000e+02,6.225000e+02,1.326792e-08
134,4.115000e+02,6.225000e+02,1.715292e-08
135,4.125000e+02,6.225000e+02,1.024897e-08
136,4.135000e+02,6.225000e+02,7.666966e-10
137,3.875000e+02,6.215000e+02,1.952743e-08
138,3.885000e+02,6.215000e+02,8.122124e-08
139,3.895000e+02,6.215000e+02,4.430281e-08
140,3.905000e+02,6.215000e+02,4.329348e-08
141,3.915000e+02,6.215000e+02,4.137311e-08
142,3.925000e+02,6.215000e+02,2.472885e-08
143,3.935000e+02,6.215000e+02,2.888086e-08
144,3.945000e+02,6.215000e+02,2.798763e-08
145,3.955000e+02,6.215000e+02,1.361595e-08
146,3.965000e+02,6.215000e+02,1.860303e-09
147,4.085000e+02,6.215000e+02,3.476319e-09
148,4.095000e+02,6.215000e+02,1.603713e-08
149,4.105000e+02,6.215000e+02,2.639639e-08
150,4.115000e+02,6.215000e+02,1.744262e-08
151,4.125000e+02,6.215000e+02,1.282620e-09
152,3.875000e+02,6.205000e+02,1.586615e-08
153,3.885000e+02,6.205000e+02,6.612389e-08
154,3.895000e+02,6.205000e+02,3.022450e-08
155,3.905000e+02,6.205000e+02,5.311328e-09
156,3.915000e+02,6.205000e+02,3.767711e-08
157,3.925000e+02,6.205000e+02,3.675544e-08
158,3.935000e+02,6.205000e+02,3.495808e-08
159,3.945000e+02,6.205000e+02,3.598037e-08
160,3.955000e+02,6.205000e+02,1.240390e-08
161,3.965000e+02,6.205000e+02,2.816392e-09
162,3.985000e+02,6.205000e+02,6.346426e-09
163,3.995000e+02,6.205000e+02,6.408925e-09
164,4.085000e+02,6.205000e+02,5.531239e-09
165,4.095000e+02,6.205000e+02,5.380245e-09
166,4.105000e+02,6.205000e+02,5.874503e-09
167,4.115000e+02,6.205000e+02,4.710133e-10
168,3.885000e+02,6.195000e+02,2.299468e-09
169,3.895000e+02,6.195000e+02,8.588206e-09
170,3.905000e+02,6.195000e+02,3.387153e-08
171,3.915000e+02,6.195000e+02,3.675782e-08
172,3.925000e+02,6.195000e+02,3.004117e-08
173,3.935000e+02,6.195000e+02,9.710998e-09
174,3.945000e+02,6.195000e+02,1.465896e-08
175,3.955000e+02,6.195000e+02,1.019086e-09
176,3.975000e+02,6.195000e+02,2.017052e-09
177,3.985000e+02,6.195000e+02,3.627134e-08
178,3.995000e+02,6.195000e+02,2.308402e-08
179,4.005000e+02,6.195000e+02,2.649422e-09
180,4.055000e+02,6.195000e+02,9.442731e-09
181,4.065000e+02,6.195000e+02,5.814011e-09
182,4.155000e+02,6.195000e+02,9.664912e-11
183,3.895000e+02,6.185000e+02,1.400570e-10
184,3.905000e+02,6.185000e+02,2.671573e-08
185,3.915000e+02,6.185000e+02,5.828229e-09
186,3.945000e+02,6.185000e+02,1.840547e-08
187,3.955000e+02,6.185000e+02,3.538889e-08
188,3.965000e+02,6.185000e+02,1.165671e-08
189,3.975000e+02,6.185000e+02,3.334672e-09
190,3.985000e+02,6.185000e+02,1.864817e-09
191,3.995000e+02,6.185000e+02,2.261396e-08
192,4.055000e+02,6.185000e+02,5.952036e-09
193,4.065000e+02,6.185000e+02,1.127271e-09
194,4.095000e+02,6.185000e+02,2.115808e-08
195,4.105000e+02,6.185000e+02,2.424884e-08
196,4.115000e+02,6.185000e+02,1.056835e-08
197,4.125000e+02,6.185000e+02,1.185934e-09
198,3.905000e+02,6.175000e+02,2.595515e-09
199,3.915000e+02,6.175000e+02,8.219554e-09
200,3.935000e+02,6.175000e+02,1.058369e-09
201,3.945000e+02,6.175000e+02,4.430368e-08
202,3.955000e+02,6.175000e+02,3.108002e-08
203,3.965000e+02,6.175000e+02,1.056366e-08
204,4.095000e+02,6.175000e+02,1.944744e-09
205,4.105000e+02,6.175000e+02,2.500888e-08
206,4.115000e+02,6.175000e+02,3.169516e-08
207,4.125000e+02,6.175000e+02,2.261434e-08
208,4.135000e+02,6.175000e+02,2.300605e-09
209,3.915000e+02,6.165000e+02,2.455131e-09
210,3.925000e+02,6.165000e+02,4.789789e-10
211,3.935000e+02,6.165000e+02,1.205985e-08
212,3.945000e+02,6.165000e+02,2.937186e-08
213,3.955000e+02,6.165000e+02,3.318741e-08
214,3.965000e+02,6.165000e+02,3.708894e-09
215,4.085000e+02,6.165000e+02,6.883745e-09
216,4.095000e+02,6.165000e+02,1.168475e-08
217,4.105000e+02,6.165000e+02,1.300565e-08
218,4.115000e+02,6.165000e+02,2.115650e-08
219,4.125000e+02,6.165000e+02,1.257624e-08
220,3.875000e+02,6.155000e+02,1.278534e-08
221,3.905000e+02,6.155000e+02,2.049969e-10
222,3.925000e+02,6.155000e+02,6.077062e-09
223,3.935000e+02,6.155000e+02,5.353487e-09
224,3.965000e+02,6.155000e+02,8.697224e-10
225,4.085000e+02,6.155000e+02,5.698221e-09
226,4.095000e+02,6.155000e+02,1.435397e-09
227,4.105000e+02,6.155000e+02,1.580875e-09
228,4.115000e+02,6.155000e+02,1.638843e-08
229,4.125000e+02,6.155000e+02,6.432740e-10
230,3.825000e+02,6.145000e+02,7.969192e-08
231,3.835000e+02,6.145000e+02,6.415910e-08
232,3.875000e+02,6.145000e+02,4.792761e-08
233,3.895000e+02,6.145000e+02,4.923669e-10
234,3.905000e+02,6.145000e+02,7.544606e-10
235,4.145000e+02,6.145000e+02,9.790298e-09
236,4.155000e+02,6.145000e+02,1.212725e-08
237,4.165000e+02,6.145000e+02,4.220259e-09
238,3.805000e+02,6.135000e+02,1.027501e-09
239,3.815000e+02,6.135000e+02,4.211262e-08
240,3.825000e+02,6.135000e+02,6.854006e-08
241,3.835000e+02,6.135000e+02,6.432261e-08
242,3.875000e+02,6.135000e+02,5.596988e-09
243,3.885000e+02,6.135000e+02,2.828636e-10
244,3.925000e+02,6.135000e+02,5.613739e-09
245,3.935000e+02,6.135000e+02,5.233014e-09
246,4.145000e+02,6.135000e+02,2.508781e-08
247,4.155000e+02,6.135000e+02,2.815311e-08
248,4.165000e+02,6.135000e+02,3.270464e-09
249,3.785000e+02,6.125000e+02,2.312721e-09
250,3.795000e+02,6.125000e+02,5.991333e-08
251,3.805000e+02,6.125000e+02,1.076391e-08
252,3.825000e+02,6.125000e+02,6.070987e-09
253,3.835000e+02,6.125000e+02,2.936464e-09
254,3.935000e+02,6.125000e+02,6.842845e-09
255,4.145000e+02,6.125000e+02,8.343931e-09
256,4.155000e+02,6.125000e+02,3.499036e-09
257,4.165000e+02,6.125000e+02,1.211992e-10
258,3.785000e+02,6.115000e+02,4.602557e-08
259,3.795000e+02,6.115000e+02,1.103766e-07
260,3.805000e+02,6.115000e+02,2.405281e-08
261,3.815000e+02,6.115000e+02,2.163026e-09
262,3.945000e+02,6.115000e+02,1.292923e-09
263,4.135000e+02,6.115000e+02,4.223427e-10
264,4.145000e+02,6.115000e+02,9.225215e-09
265,3.785000e+02,6.105000e+02,1.651849e-08
266,3.795000e+02,6.105000e+02,1.349614e-07
267,3.805000e+02,6.105000e+02,7.271079e-08
268,3.815000e+02,6.105000e+02,6.897595e-08
269,3.825000e+02,6.105000e+02,7.591414e-10
270,3.925000e+02,6.105000e+02,7.615396e-09
271,3.955000e+02,6.105000e+02,1.048953e-09
272,3.975000e+02,6.105000e+02,6.735322e-09
273,4.125000e+02,6.105000e+02,2.979644e-09
274,4.135000e+02,6.105000e+02,2.071078e-08
275,4.145000e+02,6.105000e+02,2.701708e-08
276,4.155000e+02,6.105000e+02,6.520975e-10
277,3.795000e+02,6.095000e+02,1.626254e-08
278,3.805000e+02,6.095000e+02,7.505446e-08
279,3.815000e+02,6.095000e+02,1.281639e-07
