i,x,y,voltage,flow,cover dropped,index,drop stage
70,439.416000,594.828000,6.952295e-02,0.009895, 444.779268,0.244261,15994,1 of 10 
71,438.426000,594.828000,6.949239e-02,0.011335, 444.779268,0.391185,15993,1 of 10 
72,437.436000,594.828000,6.947302e-02,0.014032, 444.779268,0.666667,15992,1 of 10 
73,436.446000,594.828000,6.946068e-02,0.010689, 444.779268,0.689624,15991,1 of 10 
74,435.456000,594.828000,6.945299e-02,0.011562, 444.779268,1.000000,15990,1 of 10 
75,612.666000,595.818000,2.220710e-01,0.000068, 444.779268,0.049587,15989,1 of 10 
76,607.716000,595.818000,2.220532e-01,0.000134, 444.779268,0.024793,15988,1 of 10 
77,602.766000,595.818000,2.219745e-01,0.000204, 444.779268,0.016529,15987,1 of 10 
78,601.776000,595.818000,2.219436e-01,0.000407, 444.779268,0.026630,15986,1 of 10 
79,600.786000,595.818000,2.218975e-01,0.000394, 444.779268,0.020202,15985,1 of 10 
80,597.816000,595.818000,2.215619e-01,0.001618, 444.779268,0.044077,15984,1 of 10 
81,587.916000,595.818000,2.149442e-01,0.004343, 444.779268,0.023875,15983,1 of 10 
82,586.926000,595.818000,2.142013e-01,0.005850, 444.779268,0.025712,15982,1 of 10 
83,580.986000,595.818000,2.071431e-01,0.002027, 444.779268,0.004591,15981,1 of 10 
84,577.026000,595.818000,2.033260e-01,0.023421, 444.779268,0.027548,15977,1 of 10 
85,576.036000,595.818000,2.022289e-01,0.010923, 444.779268,0.011938,15976,1 of 10 
86,573.066000,595.818000,1.998590e-01,0.003224, 444.779268,0.003673,15975,1 of 10 
87,486.936000,595.818000,7.998662e-02,0.025043, 444.779268,0.037649,15891,1 of 10 
88,445.356000,595.818000,7.040238e-02,0.022494, 444.779268,0.094582,15850,1 of 10 
89,443.376000,595.818000,6.989030e-02,0.009447, 444.779268,0.054178,15849,1 of 10 
90,442.386000,595.818000,6.971725e-02,0.030260, 444.779268,0.236915,15848,1 of 10 
91,441.396000,595.818000,6.960962e-02,0.035474, 444.779268,0.398531,15847,1 of 10 
92,440.406000,595.818000,6.954491e-02,0.031532, 444.779268,0.505969,15846,1 of 10 
93,439.416000,595.818000,6.950504e-02,0.033861, 444.779268,0.753903,15845,1 of 10 
94,438.426000,595.818000,6.947963e-02,0.031773, 444.779268,0.954086,15844,1 of 10 
