index,x,y,loss
0,1.634949e+02,1.474949e+02,0.000000e+00
1,1.614949e+02,1.474949e+02,0.000000e+00
2,1.384949e+02,1.474949e+02,0.000000e+00
3,8.549495e+01,1.474949e+02,0.000000e+00
4,6.449495e+01,1.474949e+02,0.000000e+00
5,6.349495e+01,1.474949e+02,0.000000e+00
6,6.149495e+01,1.474949e+02,0.000000e+00
7,5.849495e+01,1.474949e+02,0.000000e+00
8,5.349495e+01,1.474949e+02,0.000000e+00
9,5.249495e+01,1.474949e+02,0.000000e+00
10,4.849495e+01,1.474949e+02,0.000000e+00
11,4.749495e+01,1.474949e+02,0.000000e+00
12,4.349495e+01,1.474949e+02,0.000000e+00
13,4.249495e+01,1.474949e+02,0.000000e+00
14,4.149495e+01,1.474949e+02,0.000000e+00
15,3.849495e+01,1.474949e+02,0.000000e+00
16,2.249495e+01,1.474949e+02,0.000000e+00
17,1.449495e+01,1.474949e+02,0.000000e+00
18,1.349495e+01,1.474949e+02,0.000000e+00
19,1.644949e+02,1.464949e+02,0.000000e+00
20,1.634949e+02,1.464949e+02,0.000000e+00
21,1.624949e+02,1.464949e+02,0.000000e+00
22,1.384949e+02,1.464949e+02,0.000000e+00
23,6.349495e+01,1.464949e+02,0.000000e+00
24,5.849495e+01,1.464949e+02,0.000000e+00
25,5.549495e+01,1.464949e+02,0.000000e+00
26,5.349495e+01,1.464949e+02,0.000000e+00
27,5.249495e+01,1.464949e+02,0.000000e+00
28,4.849495e+01,1.464949e+02,0.000000e+00
29,1.349495e+01,1.464949e+02,0.000000e+00
30,1.249495e+01,1.464949e+02,0.000000e+00
31,1.644949e+02,1.454949e+02,0.000000e+00
32,1.634949e+02,1.454949e+02,0.000000e+00
33,1.414949e+02,1.454949e+02,0.000000e+00
34,1.404949e+02,1.454949e+02,0.000000e+00
35,5.349495e+01,1.454949e+02,0.000000e+00
36,5.149495e+01,1.454949e+02,0.000000e+00
37,5.049495e+01,1.454949e+02,0.000000e+00
38,4.949495e+01,1.454949e+02,0.000000e+00
39,4.849495e+01,1.454949e+02,0.000000e+00
40,4.549495e+01,1.454949e+02,0.000000e+00
41,1.249495e+01,1.454949e+02,0.000000e+00
42,4.949495e-01,1.454949e+02,0.000000e+00
43,-5.050505e-01,1.454949e+02,0.000000e+00
44,1.644949e+02,1.444949e+02,0.000000e+00
45,1.634949e+02,1.444949e+02,0.000000e+00
46,1.624949e+02,1.444949e+02,0.000000e+00
47,1.424949e+02,1.444949e+02,0.000000e+00
48,5.549495e+01,1.444949e+02,0.000000e+00
49,5.149495e+01,1.444949e+02,0.000000e+00
50,4.649495e+01,1.444949e+02,0.000000e+00
51,3.749495e+01,1.444949e+02,0.000000e+00
52,9.494949e+00,1.444949e+02,0.000000e+00
53,2.494949e+00,1.444949e+02,0.000000e+00
54,1.494949e+00,1.444949e+02,0.000000e+00
55,4.949495e-01,1.444949e+02,0.000000e+00
56,-5.050505e-01,1.444949e+02,0.000000e+00
57,1.644949e+02,1.434949e+02,0.000000e+00
58,1.634949e+02,1.434949e+02,0.000000e+00
59,1.624949e+02,1.434949e+02,0.000000e+00
60,1.404949e+02,1.434949e+02,0.000000e+00
61,8.549495e+01,1.434949e+02,0.000000e+00
62,6.049495e+01,1.434949e+02,0.000000e+00
63,5.649495e+01,1.434949e+02,0.000000e+00
64,5.249495e+01,1.434949e+02,0.000000e+00
65,5.149495e+01,1.434949e+02,0.000000e+00
66,4.449495e+01,1.434949e+02,0.000000e+00
67,9.494949e+00,1.434949e+02,0.000000e+00
68,4.494949e+00,1.434949e+02,0.000000e+00
69,3.494949e+00,1.434949e+02,0.000000e+00
70,2.494949e+00,1.434949e+02,0.000000e+00
71,1.494949e+00,1.434949e+02,0.000000e+00
72,4.949495e-01,1.434949e+02,0.000000e+00
73,-5.050505e-01,1.434949e+02,0.000000e+00
74,1.784949e+02,1.424949e+02,0.000000e+00
75,1.734949e+02,1.424949e+02,0.000000e+00
76,1.684949e+02,1.424949e+02,0.000000e+00
77,1.674949e+02,1.424949e+02,0.000000e+00
78,1.664949e+02,1.424949e+02,0.000000e+00
79,1.634949e+02,1.424949e+02,0.000000e+00
80,1.534949e+02,1.424949e+02,0.000000e+00
81,1.524949e+02,1.424949e+02,0.000000e+00
82,1.464949e+02,1.424949e+02,0.000000e+00
83,1.424949e+02,1.424949e+02,0.000000e+00
84,1.414949e+02,1.424949e+02,0.000000e+00
85,1.384949e+02,1.424949e+02,0.000000e+00
86,5.149495e+01,1.424949e+02,0.000000e+00
87,9.494949e+00,1.424949e+02,0.000000e+00
88,7.494949e+00,1.424949e+02,0.000000e+00
89,6.494949e+00,1.424949e+02,0.000000e+00
90,5.494949e+00,1.424949e+02,0.000000e+00
91,4.494949e+00,1.424949e+02,0.000000e+00
92,3.494949e+00,1.424949e+02,0.000000e+00
93,2.494949e+00,1.424949e+02,0.000000e+00
94,1.494949e+00,1.424949e+02,0.000000e+00
95,4.949495e-01,1.424949e+02,0.000000e+00
96,-5.050505e-01,1.424949e+02,0.000000e+00
97,1.754949e+02,1.414949e+02,0.000000e+00
98,1.744949e+02,1.414949e+02,0.000000e+00
99,1.734949e+02,1.414949e+02,0.000000e+00
100,1.714949e+02,1.414949e+02,0.000000e+00
101,1.704949e+02,1.414949e+02,0.000000e+00
102,1.694949e+02,1.414949e+02,0.000000e+00
103,1.684949e+02,1.414949e+02,0.000000e+00
104,1.674949e+02,1.414949e+02,0.000000e+00
105,1.664949e+02,1.414949e+02,0.000000e+00
106,1.654949e+02,1.414949e+02,0.000000e+00
107,1.644949e+02,1.414949e+02,0.000000e+00
108,1.544949e+02,1.414949e+02,0.000000e+00
109,1.524949e+02,1.414949e+02,0.000000e+00
110,1.514949e+02,1.414949e+02,0.000000e+00
111,1.504949e+02,1.414949e+02,0.000000e+00
112,1.494949e+02,1.414949e+02,0.000000e+00
113,1.434949e+02,1.414949e+02,0.000000e+00
114,5.049495e+01,1.414949e+02,0.000000e+00
115,1.549495e+01,1.414949e+02,0.000000e+00
116,9.494949e+00,1.414949e+02,0.000000e+00
117,6.494949e+00,1.414949e+02,0.000000e+00
118,1.494949e+00,1.414949e+02,0.000000e+00
119,4.949495e-01,1.414949e+02,0.000000e+00
120,-5.050505e-01,1.414949e+02,0.000000e+00
121,1.724949e+02,1.404949e+02,0.000000e+00
122,1.714949e+02,1.404949e+02,0.000000e+00
123,1.704949e+02,1.404949e+02,0.000000e+00
124,1.694949e+02,1.404949e+02,0.000000e+00
125,1.684949e+02,1.404949e+02,0.000000e+00
126,1.674949e+02,1.404949e+02,0.000000e+00
127,1.664949e+02,1.404949e+02,0.000000e+00
128,1.654949e+02,1.404949e+02,0.000000e+00
129,1.554949e+02,1.404949e+02,0.000000e+00
130,1.534949e+02,1.404949e+02,0.000000e+00
131,1.524949e+02,1.404949e+02,0.000000e+00
132,1.514949e+02,1.404949e+02,0.000000e+00
133,1.464949e+02,1.404949e+02,0.000000e+00
134,1.394949e+02,1.404949e+02,0.000000e+00
135,1.749495e+01,1.404949e+02,0.000000e+00
136,1.649495e+01,1.404949e+02,0.000000e+00
137,1.449495e+01,1.404949e+02,0.000000e+00
138,7.494949e+00,1.404949e+02,0.000000e+00
