index,x,y,progress
0,4.602060e+02,7.354080e+02,1.532467e-09
1,4.592160e+02,7.344180e+02,1.530651e-09
2,4.602060e+02,7.344180e+02,1.531653e-09
3,4.611960e+02,7.344180e+02,1.533017e-09
4,4.621860e+02,7.344180e+02,1.535322e-09
5,4.631760e+02,7.344180e+02,1.539668e-09
6,4.641660e+02,7.344180e+02,1.548617e-09
7,4.582260e+02,7.334280e+02,1.528596e-09
8,4.592160e+02,7.334280e+02,1.529616e-09
9,4.602060e+02,7.334280e+02,1.530675e-09
10,4.611960e+02,7.334280e+02,1.532025e-09
11,4.621860e+02,7.334280e+02,1.534158e-09
12,4.631760e+02,7.334280e+02,1.538256e-09
13,4.592160e+02,7.324380e+02,1.528287e-09
14,4.602060e+02,7.324380e+02,1.529436e-09
15,4.611960e+02,7.324380e+02,1.530842e-09
16,4.621860e+02,7.324380e+02,1.532956e-09
17,4.592160e+02,7.314480e+02,1.526473e-09
18,4.602060e+02,7.314480e+02,1.527827e-09
19,4.611960e+02,7.314480e+02,1.529390e-09
20,4.621860e+02,7.314480e+02,1.531659e-09
21,4.592160e+02,7.304580e+02,1.523681e-09
22,4.602060e+02,7.304580e+02,1.525484e-09
23,4.611960e+02,7.304580e+02,1.527415e-09
24,4.621860e+02,7.304580e+02,1.530075e-09
25,5.077260e+02,7.304580e+02,1.707513e-02
26,4.592160e+02,7.294680e+02,1.518614e-09
27,4.602060e+02,7.294680e+02,1.521316e-09
28,5.077260e+02,7.294680e+02,1.707513e-02
29,5.087160e+02,7.294680e+02,1.707513e-02
30,5.097060e+02,7.294680e+02,1.707513e-02
31,4.602060e+02,7.284780e+02,1.512438e-09
32,5.087160e+02,7.284780e+02,1.707513e-02
33,5.097060e+02,7.284780e+02,1.707513e-02
34,5.106960e+02,7.284780e+02,1.707513e-02
35,5.087160e+02,7.274880e+02,1.707513e-02
36,5.097060e+02,7.274880e+02,1.707513e-02
37,5.106960e+02,7.274880e+02,1.707513e-02
38,5.116860e+02,7.274880e+02,1.707513e-02
39,5.126760e+02,7.274880e+02,1.707513e-02
40,5.097060e+02,7.264980e+02,1.707513e-02
41,5.106960e+02,7.264980e+02,1.707513e-02
42,5.116860e+02,7.264980e+02,1.707513e-02
43,5.126760e+02,7.264980e+02,1.707513e-02
44,5.136660e+02,7.264980e+02,1.707513e-02
45,5.146560e+02,7.264980e+02,1.707513e-02
46,5.156460e+02,7.264980e+02,1.707513e-02
47,5.166360e+02,7.264980e+02,1.707513e-02
48,5.106960e+02,7.255080e+02,1.707513e-02
