index,x,y,flow
0,4.602060e+02,7.354080e+02,4.189427e-02
1,4.592160e+02,7.344180e+02,1.551427e-02
2,4.602060e+02,7.344180e+02,7.958366e-02
3,4.611960e+02,7.344180e+02,7.549720e-02
4,4.621860e+02,7.344180e+02,8.104027e-02
5,4.631760e+02,7.344180e+02,1.034342e-01
6,4.641660e+02,7.344180e+02,1.162074e-01
7,4.582260e+02,7.334280e+02,1.066188e-02
8,4.592160e+02,7.334280e+02,1.061218e-02
9,4.602060e+02,7.334280e+02,8.523824e-02
10,4.611960e+02,7.334280e+02,1.224031e-01
11,4.621860e+02,7.334280e+02,1.170957e-01
12,4.631760e+02,7.334280e+02,2.247968e-02
13,4.592160e+02,7.324380e+02,1.161645e-01
14,4.602060e+02,7.324380e+02,1.372410e-01
15,4.611960e+02,7.324380e+02,1.529391e-01
16,4.621860e+02,7.324380e+02,1.452000e-01
17,4.592160e+02,7.314480e+02,1.442233e-01
18,4.602060e+02,7.314480e+02,1.782172e-01
19,4.611960e+02,7.314480e+02,1.899462e-01
20,4.621860e+02,7.314480e+02,1.292928e-01
21,4.592160e+02,7.304580e+02,2.236038e-01
22,4.602060e+02,7.304580e+02,2.272182e-01
23,4.611960e+02,7.304580e+02,2.340654e-01
24,4.621860e+02,7.304580e+02,2.319027e-01
25,5.077260e+02,7.304580e+02,2.082779e-01
26,4.592160e+02,7.294680e+02,1.690840e-01
27,4.602060e+02,7.294680e+02,1.623336e-01
28,5.077260e+02,7.294680e+02,2.549705e-01
29,5.087160e+02,7.294680e+02,2.652253e-01
30,5.097060e+02,7.294680e+02,1.969094e-01
31,4.602060e+02,7.284780e+02,1.693207e-01
32,5.087160e+02,7.284780e+02,2.172940e-01
33,5.097060e+02,7.284780e+02,3.243189e-01
34,5.106960e+02,7.284780e+02,2.628476e-01
35,5.087160e+02,7.274880e+02,2.776869e-01
36,5.097060e+02,7.274880e+02,3.344148e-01
37,5.106960e+02,7.274880e+02,3.862474e-01
38,5.116860e+02,7.274880e+02,4.000123e-01
39,5.126760e+02,7.274880e+02,3.212376e-01
40,5.097060e+02,7.264980e+02,4.260417e-01
41,5.106960e+02,7.264980e+02,4.302708e-01
42,5.116860e+02,7.264980e+02,4.438400e-01
43,5.126760e+02,7.264980e+02,4.575460e-01
44,5.136660e+02,7.264980e+02,4.678214e-01
45,5.146560e+02,7.264980e+02,4.766461e-01
46,5.156460e+02,7.264980e+02,4.654949e-01
47,5.166360e+02,7.264980e+02,4.047950e-01
48,5.106960e+02,7.255080e+02,4.779886e-01
49,5.116860e+02,7.255080e+02,4.832869e-01
50,5.126760e+02,7.255080e+02,4.935492e-01
51,5.136660e+02,7.255080e+02,5.033599e-01
52,5.146560e+02,7.255080e+02,5.126010e-01
53,5.156460e+02,7.255080e+02,5.221706e-01
54,5.106960e+02,7.245180e+02,5.284930e-01
55,5.116860e+02,7.245180e+02,5.234232e-01
56,5.126760e+02,7.245180e+02,5.276921e-01
57,5.136660e+02,7.245180e+02,5.350528e-01
58,5.146560e+02,7.245180e+02,5.432164e-01
59,5.156460e+02,7.245180e+02,5.518950e-01
60,5.106960e+02,7.235280e+02,5.787689e-01
61,5.116860e+02,7.235280e+02,5.643714e-01
62,5.126760e+02,7.235280e+02,5.610777e-01
63,5.136660e+02,7.235280e+02,5.638954e-01
64,5.146560e+02,7.235280e+02,5.695215e-01
65,5.156460e+02,7.235280e+02,5.765715e-01
66,5.097060e+02,7.225380e+02,6.957791e-01
67,5.106960e+02,7.225380e+02,6.376334e-01
68,5.116860e+02,7.225380e+02,6.071277e-01
69,5.126760e+02,7.225380e+02,5.944898e-01
70,5.136660e+02,7.225380e+02,5.914618e-01
71,5.146560e+02,7.225380e+02,5.932730e-01
72,5.106960e+02,7.215480e+02,6.996631e-01
73,5.116860e+02,7.215480e+02,6.528382e-01
74,5.126760e+02,7.215480e+02,6.292477e-01
75,5.136660e+02,7.215480e+02,6.190692e-01
76,5.146560e+02,7.215480e+02,6.159977e-01
77,5.106960e+02,7.205580e+02,7.439313e-01
78,5.116860e+02,7.205580e+02,7.030621e-01
79,5.126760e+02,7.205580e+02,6.670063e-01
80,5.116860e+02,7.195680e+02,7.588725e-01
81,4.423860e+02,7.156080e+02,2.009048e-03
82,4.433760e+02,7.156080e+02,1.982845e-03
83,4.423860e+02,7.146180e+02,3.038221e-03
84,4.433760e+02,7.146180e+02,1.850771e-03
85,4.443660e+02,7.146180e+02,1.014608e-02
86,5.403960e+02,7.096680e+02,1.759917e-03
87,5.364360e+02,7.017480e+02,1.038419e-03
88,6.116760e+02,6.760080e+02,3.428886e-05
89,6.126660e+02,6.760080e+02,2.599774e-05
90,6.116760e+02,6.750180e+02,8.529937e-06
91,6.126660e+02,6.750180e+02,4.271981e-05
92,5.334660e+02,6.680880e+02,1.427372e+00
93,5.354460e+02,6.680880e+02,1.358604e+00
94,5.364360e+02,6.680880e+02,1.267924e+00
95,5.314860e+02,6.670980e+02,1.274630e+00
96,5.324760e+02,6.670980e+02,1.367949e+00
97,5.334660e+02,6.670980e+02,1.425637e+00
98,5.344560e+02,6.670980e+02,1.506288e+00
99,5.354460e+02,6.670980e+02,1.606356e+00
100,5.364360e+02,6.670980e+02,1.756593e+00
101,5.374260e+02,6.670980e+02,1.006146e+00
102,5.324760e+02,6.661080e+02,8.423716e-01
103,5.334660e+02,6.661080e+02,1.310469e+00
104,5.344560e+02,6.661080e+02,1.368561e+00
105,5.354460e+02,6.661080e+02,1.431844e+00
106,5.364360e+02,6.661080e+02,1.525841e+00
107,5.374260e+02,6.661080e+02,1.650303e+00
108,5.384160e+02,6.661080e+02,4.607523e-01
109,5.344560e+02,6.651180e+02,1.110601e+00
110,5.354460e+02,6.651180e+02,1.243086e+00
111,5.364360e+02,6.651180e+02,1.214987e+00
112,5.374260e+02,6.651180e+02,3.667275e-01
113,4.394160e+02,6.552180e+02,1.558485e+00
114,4.404060e+02,6.552180e+02,2.772673e+00
115,4.413960e+02,6.552180e+02,2.604206e+00
116,4.364460e+02,6.542280e+02,9.977026e-01
117,4.374360e+02,6.542280e+02,1.287043e+00
118,4.384260e+02,6.542280e+02,1.683236e+00
119,4.394160e+02,6.542280e+02,1.781004e+00
120,4.404060e+02,6.542280e+02,5.907013e-01
121,4.413960e+02,6.542280e+02,1.515583e+00
122,4.354560e+02,6.532380e+02,7.851158e-01
123,4.364460e+02,6.532380e+02,1.069693e+00
124,4.374360e+02,6.532380e+02,1.158323e+00
125,4.384260e+02,6.532380e+02,8.758596e-01
126,4.394160e+02,6.532380e+02,1.128330e-01
127,5.314860e+02,6.532380e+02,2.365374e-01
128,5.324760e+02,6.532380e+02,3.560899e-01
129,5.334660e+02,6.532380e+02,3.320472e-01
130,5.344560e+02,6.532380e+02,3.424271e-01
131,4.354560e+02,6.522480e+02,8.722904e-01
132,4.364460e+02,6.522480e+02,1.090570e+00
133,4.374360e+02,6.522480e+02,6.208739e-01
134,5.304960e+02,6.522480e+02,4.053414e-01
135,5.314860e+02,6.522480e+02,4.144719e-01
136,5.324760e+02,6.522480e+02,4.027284e-01
137,5.334660e+02,6.522480e+02,4.024397e-01
138,5.344560e+02,6.522480e+02,4.333450e-01
139,5.354460e+02,6.522480e+02,5.010387e-01
140,4.354560e+02,6.512580e+02,9.090354e-01
141,4.364460e+02,6.512580e+02,1.060062e+00
142,4.374360e+02,6.512580e+02,1.040433e+00
143,5.295060e+02,6.512580e+02,5.117415e-01
144,5.304960e+02,6.512580e+02,4.456896e-01
145,5.314860e+02,6.512580e+02,4.081732e-01
146,5.324760e+02,6.512580e+02,3.934488e-01
147,5.334660e+02,6.512580e+02,4.026927e-01
148,5.344560e+02,6.512580e+02,4.411677e-01
149,5.354460e+02,6.512580e+02,5.121294e-01
150,5.364360e+02,6.512580e+02,6.337806e-01
151,4.354560e+02,6.502680e+02,9.364019e-01
152,4.364460e+02,6.502680e+02,5.711444e-01
153,4.374360e+02,6.502680e+02,1.978569e-01
154,5.295060e+02,6.502680e+02,4.756068e-01
155,5.304960e+02,6.502680e+02,4.250058e-01
156,5.314860e+02,6.502680e+02,3.955920e-01
157,5.324760e+02,6.502680e+02,3.851927e-01
158,5.334660e+02,6.502680e+02,3.946616e-01
159,5.344560e+02,6.502680e+02,3.454396e-01
160,5.354460e+02,6.502680e+02,3.184028e-01
161,6.027660e+02,6.502680e+02,1.256446e-01
162,6.037560e+02,6.502680e+02,1.177732e-01
163,4.354560e+02,6.492780e+02,9.167938e-01
164,4.364460e+02,6.492780e+02,1.082724e+00
165,4.374360e+02,6.492780e+02,7.760239e-01
166,5.285160e+02,6.492780e+02,5.276550e-01
167,5.295060e+02,6.492780e+02,4.583415e-01
168,5.304960e+02,6.492780e+02,4.156131e-01
169,5.314860e+02,6.492780e+02,3.894802e-01
170,5.324760e+02,6.492780e+02,3.783362e-01
171,5.334660e+02,6.492780e+02,3.447806e-01
172,6.037560e+02,6.492780e+02,1.463037e-01
173,4.354560e+02,6.482880e+02,8.841537e-01
174,4.364460e+02,6.482880e+02,1.042156e+00
175,4.374360e+02,6.482880e+02,6.680568e-01
176,5.275260e+02,6.482880e+02,5.392439e-01
177,5.285160e+02,6.482880e+02,5.128576e-01
178,5.295060e+02,6.482880e+02,4.542633e-01
179,5.304960e+02,6.482880e+02,4.159501e-01
180,5.314860e+02,6.482880e+02,3.911169e-01
181,5.324760e+02,6.482880e+02,3.343777e-01
182,6.017760e+02,6.482880e+02,1.618347e-01
183,6.027660e+02,6.482880e+02,1.421479e-01
184,6.037560e+02,6.482880e+02,1.509204e-01
