index,x,y,flow
0,4.602060e+02,7.354080e+02,6.227952e-10
1,4.592160e+02,7.344180e+02,2.069052e-10
2,4.602060e+02,7.344180e+02,1.131848e-09
3,4.611960e+02,7.344180e+02,1.125993e-09
4,4.621860e+02,7.344180e+02,1.302748e-09
5,4.631760e+02,7.344180e+02,1.801492e-09
6,4.641660e+02,7.344180e+02,2.260623e-09
7,4.582260e+02,7.334280e+02,1.350106e-10
8,4.592160e+02,7.334280e+02,1.413859e-10
9,4.602060e+02,7.334280e+02,1.173741e-09
10,4.611960e+02,7.334280e+02,1.710120e-09
11,4.621860e+02,7.334280e+02,1.698810e-09
12,4.631760e+02,7.334280e+02,3.478043e-10
13,4.592160e+02,7.324380e+02,1.571206e-09
14,4.602060e+02,7.324380e+02,1.845976e-09
15,4.611960e+02,7.324380e+02,2.032054e-09
16,4.621860e+02,7.324380e+02,1.894296e-09
17,4.592160e+02,7.314480e+02,2.037717e-09
18,4.602060e+02,7.314480e+02,2.426685e-09
19,4.611960e+02,7.314480e+02,2.443061e-09
20,4.621860e+02,7.314480e+02,1.553166e-09
21,4.592160e+02,7.304580e+02,3.378763e-09
22,4.602060e+02,7.304580e+02,3.278226e-09
23,4.611960e+02,7.304580e+02,3.078891e-09
24,4.621860e+02,7.304580e+02,2.685054e-09
25,5.077260e+02,7.304580e+02,3.298049e-09
26,4.592160e+02,7.294680e+02,2.879096e-09
27,4.602060e+02,7.294680e+02,2.583417e-09
28,5.077260e+02,7.294680e+02,3.597763e-09
29,5.087160e+02,7.294680e+02,2.710366e-09
30,5.097060e+02,7.294680e+02,1.415186e-09
31,4.602060e+02,7.284780e+02,3.187694e-09
32,5.087160e+02,7.284780e+02,2.001049e-09
33,5.097060e+02,7.284780e+02,2.288914e-09
34,5.106960e+02,7.284780e+02,1.397859e-09
35,5.087160e+02,7.274880e+02,2.212256e-09
36,5.097060e+02,7.274880e+02,2.160785e-09
37,5.106960e+02,7.274880e+02,2.003361e-09
38,5.116860e+02,7.274880e+02,1.642912e-09
39,5.126760e+02,7.274880e+02,1.070997e-09
40,5.097060e+02,7.264980e+02,2.426973e-09
41,5.106960e+02,7.264980e+02,2.054286e-09
42,5.116860e+02,7.264980e+02,1.761946e-09
43,5.126760e+02,7.264980e+02,1.567716e-09
44,5.136660e+02,7.264980e+02,1.434484e-09
45,5.146560e+02,7.264980e+02,1.363353e-09
46,5.156460e+02,7.264980e+02,1.340941e-09
47,5.166360e+02,7.264980e+02,1.388213e-09
48,5.106960e+02,7.255080e+02,2.043966e-09
49,5.116860e+02,7.255080e+02,1.807130e-09
50,5.126760e+02,7.255080e+02,1.685542e-09
51,5.136660e+02,7.255080e+02,1.612695e-09
52,5.146560e+02,7.255080e+02,1.608080e-09
53,5.156460e+02,7.255080e+02,1.738491e-09
54,5.106960e+02,7.245180e+02,2.045763e-09
55,5.116860e+02,7.245180e+02,1.856804e-09
56,5.126760e+02,7.245180e+02,1.775186e-09
57,5.136660e+02,7.245180e+02,1.772583e-09
58,5.146560e+02,7.245180e+02,1.861114e-09
59,5.156460e+02,7.245180e+02,2.160605e-09
60,5.106960e+02,7.235280e+02,2.107468e-09
61,5.116860e+02,7.235280e+02,1.929539e-09
62,5.126760e+02,7.235280e+02,1.878974e-09
63,5.136660e+02,7.235280e+02,1.944988e-09
64,5.146560e+02,7.235280e+02,2.160469e-09
65,5.156460e+02,7.235280e+02,2.726532e-09
66,5.097060e+02,7.225380e+02,2.975007e-09
67,5.106960e+02,7.225380e+02,2.273998e-09
68,5.116860e+02,7.225380e+02,2.037039e-09
69,5.126760e+02,7.225380e+02,2.008060e-09
70,5.136660e+02,7.225380e+02,2.158512e-09
71,5.146560e+02,7.225380e+02,2.569294e-09
72,5.106960e+02,7.215480e+02,2.506709e-09
73,5.116860e+02,7.215480e+02,2.181674e-09
74,5.126760e+02,7.215480e+02,2.176149e-09
75,5.136660e+02,7.215480e+02,2.463670e-09
76,5.146560e+02,7.215480e+02,3.179473e-09
77,5.106960e+02,7.205580e+02,2.760703e-09
78,5.116860e+02,7.205580e+02,2.387111e-09
79,5.126760e+02,7.205580e+02,2.431433e-09
80,5.116860e+02,7.195680e+02,2.702290e-09
81,4.423860e+02,7.156080e+02,4.775118e-12
82,4.433760e+02,7.156080e+02,4.918433e-12
83,4.423860e+02,7.146180e+02,7.160469e-12
84,4.433760e+02,7.146180e+02,4.437264e-12
85,4.443660e+02,7.146180e+02,2.440699e-11
86,5.403960e+02,7.096680e+02,2.991619e-08
87,5.364360e+02,7.017480e+02,3.496633e-08
88,6.116760e+02,6.760080e+02,1.578035e-15
89,6.126660e+02,6.760080e+02,1.438637e-15
90,6.116760e+02,6.750180e+02,4.583447e-16
91,6.126660e+02,6.750180e+02,2.204580e-15
92,5.334660e+02,6.680880e+02,4.592103e-09
93,5.354460e+02,6.680880e+02,3.744288e-09
94,5.364360e+02,6.680880e+02,3.054982e-09
95,5.314860e+02,6.670980e+02,3.431060e-09
96,5.324760e+02,6.670980e+02,3.596304e-09
97,5.334660e+02,6.670980e+02,3.724240e-09
98,5.344560e+02,6.670980e+02,3.765512e-09
99,5.354460e+02,6.670980e+02,3.714875e-09
100,5.364360e+02,6.670980e+02,3.512435e-09
101,5.374260e+02,6.670980e+02,1.599443e-09
102,5.324760e+02,6.661080e+02,2.419206e-09
103,5.334660e+02,6.661080e+02,3.745567e-09
104,5.344560e+02,6.661080e+02,3.806619e-09
105,5.354460e+02,6.661080e+02,3.685407e-09
106,5.364360e+02,6.661080e+02,3.378614e-09
107,5.374260e+02,6.661080e+02,2.842370e-09
108,5.384160e+02,6.661080e+02,5.702686e-10
109,5.344560e+02,6.651180e+02,4.495284e-09
110,5.354460e+02,6.651180e+02,4.650807e-09
111,5.364360e+02,6.651180e+02,3.997353e-09
112,5.374260e+02,6.651180e+02,9.687655e-10
113,4.394160e+02,6.552180e+02,1.233446e-08
114,4.404060e+02,6.552180e+02,2.278933e-08
115,4.413960e+02,6.552180e+02,2.223908e-08
116,4.364460e+02,6.542280e+02,6.812297e-09
117,4.374360e+02,6.542280e+02,9.148371e-09
118,4.384260e+02,6.542280e+02,1.239565e-08
119,4.394160e+02,6.542280e+02,1.356996e-08
120,4.404060e+02,6.542280e+02,4.647301e-09
121,4.413960e+02,6.542280e+02,1.231102e-08
122,4.354560e+02,6.532380e+02,5.006617e-09
123,4.364460e+02,6.532380e+02,7.050204e-09
124,4.374360e+02,6.532380e+02,7.835434e-09
125,4.384260e+02,6.532380e+02,6.064912e-09
126,4.394160e+02,6.532380e+02,8.038892e-10
127,5.314860e+02,6.532380e+02,6.683051e-09
128,5.324760e+02,6.532380e+02,1.141730e-08
129,5.334660e+02,6.532380e+02,1.096243e-08
130,5.344560e+02,6.532380e+02,1.043664e-08
131,4.354560e+02,6.522480e+02,5.452097e-09
132,4.364460e+02,6.522480e+02,6.918260e-09
133,4.374360e+02,6.522480e+02,3.978689e-09
134,5.304960e+02,6.522480e+02,1.507580e-08
135,5.314860e+02,6.522480e+02,1.732028e-08
136,5.324760e+02,6.522480e+02,1.782902e-08
137,5.334660e+02,6.522480e+02,1.735037e-08
138,5.344560e+02,6.522480e+02,1.672992e-08
139,5.354460e+02,6.522480e+02,1.582863e-08
140,4.354560e+02,6.512580e+02,5.593993e-09
141,4.364460e+02,6.512580e+02,6.546789e-09
142,4.374360e+02,6.512580e+02,6.432472e-09
143,5.295060e+02,6.512580e+02,2.452179e-08
144,5.304960e+02,6.512580e+02,2.486415e-08
145,5.314860e+02,6.512580e+02,2.436915e-08
146,5.324760e+02,6.512580e+02,2.392006e-08
147,5.334660e+02,6.512580e+02,2.338638e-08
148,5.344560e+02,6.512580e+02,2.281519e-08
149,5.354460e+02,6.512580e+02,2.232179e-08
150,5.364360e+02,6.512580e+02,2.180402e-08
151,4.354560e+02,6.502680e+02,5.679184e-09
152,4.364460e+02,6.502680e+02,3.451767e-09
153,4.374360e+02,6.502680e+02,1.190215e-09
154,5.295060e+02,6.502680e+02,3.434744e-08
155,5.304960e+02,6.502680e+02,3.391190e-08
156,5.314860e+02,6.502680e+02,3.285224e-08
157,5.324760e+02,6.502680e+02,3.223356e-08
158,5.334660e+02,6.502680e+02,3.185814e-08
159,5.344560e+02,6.502680e+02,2.559589e-08
160,5.354460e+02,6.502680e+02,2.084633e-08
161,6.027660e+02,6.502680e+02,2.456589e-13
162,6.037560e+02,6.502680e+02,1.926023e-13
163,4.354560e+02,6.492780e+02,5.488887e-09
164,4.364460e+02,6.492780e+02,6.401227e-09
165,4.374360e+02,6.492780e+02,4.556574e-09
166,5.285160e+02,6.492780e+02,4.668560e-08
167,5.295060e+02,6.492780e+02,4.710168e-08
168,5.304960e+02,6.492780e+02,4.554024e-08
169,5.314860e+02,6.492780e+02,4.413812e-08
170,5.324760e+02,6.492780e+02,4.383897e-08
171,5.334660e+02,6.492780e+02,4.011857e-08
172,6.037560e+02,6.492780e+02,4.409997e-13
173,4.354560e+02,6.482880e+02,5.319896e-09
174,4.364460e+02,6.482880e+02,6.186011e-09
175,4.374360e+02,6.482880e+02,3.998616e-09
176,5.275260e+02,6.482880e+02,5.478832e-08
177,5.285160e+02,6.482880e+02,6.311938e-08
