i,x,y,voltage,flow,cover dropped,index,drop stage
1,597.816000,590.868000,3.508395e-01,0.000196, 2527.830416,0.025712,16683,1 of 10 
2,595.836000,590.868000,3.507194e-01,0.000193, 2527.830416,0.021120,16682,1 of 10 
3,573.066000,590.868000,3.436423e-01,0.002932, 2527.830416,0.112029,16681,1 of 10 
4,572.076000,590.868000,3.436168e-01,0.027383, 2527.830416,1.000000,16680,1 of 10 
5,571.086000,590.868000,3.435940e-01,0.030432, 2527.830416,1.000000,16679,1 of 10 
6,570.096000,590.868000,3.435705e-01,0.032630, 2527.830416,0.952250,16678,1 of 10 
7,569.106000,590.868000,3.435447e-01,0.025893, 2527.830416,0.671258,16677,1 of 10 
8,568.116000,590.868000,3.435166e-01,0.042609, 2527.830416,1.000000,16676,1 of 10 
9,567.126000,590.868000,3.434861e-01,0.046846, 2527.830416,1.000000,16675,1 of 10 
10,566.136000,590.868000,3.434528e-01,0.051215, 2527.830416,1.000000,16674,1 of 10 
11,565.146000,590.868000,3.434167e-01,0.055676, 2527.830416,1.000000,16673,1 of 10 
12,521.586000,590.868000,3.384334e-01,0.009177, 2527.830416,0.043159,16629,1 of 10 
13,520.596000,590.868000,3.382010e-01,0.002529, 2527.830416,0.011019,16628,1 of 10 
14,499.806000,590.868000,3.311830e-01,0.004578, 2527.830416,0.015611,16607,1 of 10 
15,498.816000,590.868000,3.308438e-01,0.012505, 2527.830416,0.044077,16606,1 of 10 
16,497.826000,590.868000,3.304258e-01,0.045019, 2527.830416,0.159780,16605,1 of 10 
17,496.836000,590.868000,3.298762e-01,0.021060, 2527.830416,0.069789,16604,1 of 10 
18,495.846000,590.868000,3.291037e-01,0.031161, 2527.830416,0.089991,16603,1 of 10 
19,493.866000,590.868000,3.263194e-01,0.006178, 2527.830416,0.011938,16601,1 of 10 
20,489.906000,590.868000,3.150731e-01,0.032270, 2527.830416,0.079890,16600,1 of 10 
21,488.916000,590.868000,3.132109e-01,0.015669, 2527.830416,0.046832,16599,1 of 10 
22,487.926000,590.868000,3.117921e-01,0.016453, 2527.830416,0.055096,16598,1 of 10 
23,483.966000,590.868000,3.087869e-01,0.017670, 2527.830416,0.073462,16594,1 of 10 
24,482.976000,590.868000,3.081904e-01,0.004639, 2527.830416,0.018365,16593,1 of 10 
25,479.016000,590.868000,3.062405e-01,0.001765, 2527.830416,0.005510,16589,1 of 10 
26,478.026000,590.868000,3.057648e-01,0.011373, 2527.830416,0.033976,16588,1 of 10 
27,477.036000,590.868000,3.052936e-01,0.030541, 2527.830416,0.087236,16587,1 of 10 
28,474.066000,590.868000,3.039111e-01,0.014157, 2527.830416,0.034894,16584,1 of 10 
29,458.226000,590.868000,2.999964e-01,0.028498, 2527.830416,0.111111,16568,1 of 10 
30,449.316000,590.868000,2.981995e-01,0.010561, 2527.830416,0.051423,16559,1 of 10 
31,598.806000,591.858000,3.509529e-01,0.000281, 2527.830416,0.027548,16558,1 of 10 
32,597.816000,591.858000,3.508659e-01,0.000087, 2527.830416,0.008264,16557,1 of 10 
33,596.826000,591.858000,3.507906e-01,0.001173, 2527.830416,0.118457,16556,1 of 10 
34,573.066000,591.858000,3.436567e-01,0.001642, 2527.830416,0.045914,16555,1 of 10 
35,572.076000,591.858000,3.436281e-01,0.036287, 2527.830416,0.996327,16554,1 of 10 
36,571.086000,591.858000,3.436034e-01,0.039138, 2527.830416,1.000000,16553,1 of 10 
37,570.096000,591.858000,3.435786e-01,0.043198, 2527.830416,1.000000,16552,1 of 10 
38,569.106000,591.858000,3.435521e-01,0.047878, 2527.830416,1.000000,16551,1 of 10 
39,568.116000,591.858000,3.435235e-01,0.052558, 2527.830416,1.000000,16550,1 of 10 
40,519.606000,591.858000,3.379432e-01,0.015949, 2527.830416,0.056933,16501,1 of 10 
41,517.626000,591.858000,3.373857e-01,0.054324, 2527.830416,0.188246,16499,1 of 10 
42,498.816000,591.858000,3.307416e-01,0.017314, 2527.830416,0.047750,16480,1 of 10 
43,496.836000,591.858000,3.297934e-01,0.043074, 2527.830416,0.112948,16478,1 of 10 
44,495.846000,591.858000,3.290261e-01,0.052483, 2527.830416,0.119376,16477,1 of 10 
45,493.866000,591.858000,3.260762e-01,0.012937, 2527.830416,0.019284,16475,1 of 10 
46,490.896000,591.858000,3.171608e-01,0.016955, 2527.830416,0.027548,16474,1 of 10 
47,489.906000,591.858000,3.149017e-01,0.051511, 2527.830416,0.107438,16473,1 of 10 
48,488.916000,591.858000,3.132046e-01,0.014563, 2527.830416,0.036731,16472,1 of 10 
49,487.926000,591.858000,3.118655e-01,0.016568, 2527.830416,0.045914,16471,1 of 10 
50,486.936000,591.858000,3.108443e-01,0.044222, 2527.830416,0.137741,16470,1 of 10 
51,483.966000,591.858000,3.088535e-01,0.011456, 2527.830416,0.039486,16467,1 of 10 
52,482.976000,591.858000,3.082961e-01,0.055912, 2527.830416,0.182736,16466,1 of 10 
53,481.986000,591.858000,3.077737e-01,0.055080, 2527.830416,0.165289,16465,1 of 10 
54,448.326000,591.858000,2.978090e-01,0.055951, 2527.830416,0.213039,16431,1 of 10 
55,598.806000,592.848000,3.509996e-01,0.000733, 2527.830416,0.056015,16430,1 of 10 
56,597.816000,592.848000,3.509021e-01,0.000525, 2527.830416,0.038567,16429,1 of 10 
57,576.036000,592.848000,3.438616e-01,0.000753, 2527.830416,0.013774,16428,1 of 10 
58,575.046000,592.848000,3.437762e-01,0.000794, 2527.830416,0.015611,16427,1 of 10 
59,574.056000,592.848000,3.437172e-01,0.023576, 2527.830416,0.495868,16426,1 of 10 
60,573.066000,592.848000,3.436749e-01,0.016871, 2527.830416,0.362718,16425,1 of 10 
61,572.076000,592.848000,3.436426e-01,0.043349, 2527.830416,0.932966,16424,1 of 10 
